평균풍속(KT),최대순간풍속(KT),강수량합(mm),1시간최다강수(mm),최심신적설(cm),일시
0.17777777777777776,0.08474576271186442,0.0,0.0,0.0,2022-09-09
0.17407407407407408,0.15254237288135591,0.0,0.0,0.0,2022-09-10
0.17037037037037034,0.11864406779661017,0.0,0.0,0.0,2022-09-11
0.15925925925925924,0.10169491525423728,0.0,0.0,0.0,2022-09-12
0.2740740740740741,0.13559322033898302,0.0,0.0,0.0,2022-09-13
0.3592592592592592,0.2711864406779661,0.00056657223796034,0.0013280212483399736,0.0,2022-09-14
0.2777777777777778,0.1864406779661017,0.0,0.0,0.0,2022-09-15
0.3555555555555555,0.38983050847457623,0.0226628895184136,0.01859229747675963,0.0,2022-09-16
0.16296296296296298,0.10169491525423728,0.0,0.0,0.0,2022-09-17
0.28888888888888886,0.2542372881355932,0.0,0.0,0.0,2022-09-18
0.5333333333333333,0.3559322033898305,0.0,0.0,0.0,2022-09-19
0.28518518518518515,0.1864406779661017,0.0,0.0,0.0,2022-09-20
0.21851851851851853,0.2542372881355932,0.0,0.0,0.0,2022-09-21
0.24814814814814815,0.1864406779661017,0.0,0.0,0.0,2022-09-22
0.48518518518518516,0.47457627118644063,0.015297450424929181,0.035856573705179286,0.0,2022-09-23
0.25925925925925924,0.2542372881355932,0.0,0.0,0.0,2022-09-24
0.15925925925925924,0.15254237288135591,0.0,0.0,0.0,2022-09-25
0.18888888888888886,0.11864406779661017,0.0,0.0,0.0,2022-09-26
0.19629629629629627,0.11864406779661017,0.0,0.0,0.0,2022-09-27
0.15185185185185182,0.13559322033898302,0.0,0.0,0.0,2022-09-28
0.15925925925925924,0.13559322033898302,0.0,0.0,0.0,2022-09-29
0.14444444444444443,0.11864406779661017,0.0,0.0,0.0,2022-09-30
0.13703703703703704,0.11864406779661017,0.0,0.0,0.0,2022-10-01
0.2777777777777778,0.3559322033898305,0.13031161473087818,0.0796812749003984,0.0,2022-10-02
0.5851851851851851,0.576271186440678,0.1756373937677054,0.10358565737051793,0.0,2022-10-03
0.4925925925925926,0.3220338983050847,0.038526912181303115,0.08100929614873838,0.0,2022-10-04
0.2444444444444444,0.1864406779661017,0.0,0.0,0.0,2022-10-05
0.30370370370370364,0.13559322033898302,0.0,0.0,0.0,2022-10-06
0.3777777777777777,0.2542372881355932,0.0,0.0,0.0,2022-10-07
0.2148148148148148,0.20338983050847453,0.0,0.0,0.0,2022-10-08
0.4037037037037037,0.4576271186440678,0.13937677053824363,0.06905710491367863,0.0,2022-10-09
0.6629629629629629,0.5932203389830508,0.009631728045325779,0.009296148738379814,0.0,2022-10-10
0.3296296296296296,0.3559322033898305,0.0,0.0,0.0,2022-10-11
0.15925925925925924,0.10169491525423728,0.0,0.0,0.0,2022-10-12
0.17777777777777776,0.11864406779661017,0.0,0.0,0.0,2022-10-13
0.1814814814814815,0.10169491525423728,0.0,0.0,0.0,2022-10-14
0.17407407407407408,0.11864406779661017,0.0,0.0,0.0,2022-10-15
0.18888888888888886,0.1864406779661017,0.0,0.0,0.0,2022-10-16
0.5629629629629629,0.3728813559322034,0.0,0.0,0.0,2022-10-17
0.34444444444444444,0.2542372881355932,0.0,0.0,0.0,2022-10-18
0.17037037037037034,0.10169491525423728,0.0,0.0,0.0,2022-10-19
0.15555555555555556,0.10169491525423728,0.0,0.0,0.0,2022-10-20
0.11481481481481481,0.10169491525423728,0.0,0.0,0.0,2022-10-21
0.15185185185185182,0.11864406779661017,0.0,0.0,0.0,2022-10-22
0.4629629629629629,0.30508474576271183,0.0,0.0,0.0,2022-10-23
0.48148148148148145,0.288135593220339,0.0,0.0,0.0,2022-10-24
0.21851851851851853,0.20338983050847453,0.0,0.0,0.0,2022-10-25
0.16666666666666666,0.06779661016949153,0.0,0.0,0.0,2022-10-26
0.19629629629629627,0.13559322033898302,0.0,0.0,0.0,2022-10-27
0.17037037037037034,0.08474576271186442,0.0,0.0,0.0,2022-10-28
0.19629629629629627,0.10169491525423728,0.0,0.0,0.0,2022-10-29
0.16666666666666666,0.15254237288135591,0.0,0.0,0.0,2022-10-30
0.2037037037037037,0.20338983050847453,0.0,0.0,0.0,2022-10-31
0.19629629629629627,0.15254237288135591,0.0,0.0,0.0,2022-11-01
0.16666666666666666,0.11864406779661017,0.0,0.0,0.0,2022-11-02
0.28888888888888886,0.3389830508474576,0.0,0.0,0.0,2022-11-03
0.4333333333333333,0.3220338983050847,0.0,0.0,0.0,2022-11-04
0.1222222222222222,0.10169491525423728,0.0,0.0,0.0,2022-11-05
0.14814814814814814,0.15254237288135591,0.0,0.0,0.0,2022-11-06
0.17777777777777776,0.1864406779661017,0.00056657223796034,0.0,0.0,2022-11-07
0.17407407407407408,0.06779661016949153,0.0,0.0,0.0,2022-11-08
0.1222222222222222,0.050847457627118633,0.0,0.0,0.0,2022-11-09
0.14074074074074072,0.06779661016949153,0.0,0.0,0.0,2022-11-10
0.1814814814814815,0.13559322033898302,0.0,0.0,0.0,2022-11-11
0.35185185185185186,0.5084745762711864,0.21246458923512748,0.0,0.0,2022-11-12
0.3555555555555555,0.3220338983050847,0.0,0.0,0.0,2022-11-13
0.27037037037037037,0.22033898305084743,0.0,0.0,0.0,2022-11-14
0.2333333333333333,0.22033898305084743,0.0,0.0,0.0,2022-11-15
0.1259259259259259,0.11864406779661017,0.0,0.0,0.0,2022-11-16
0.14074074074074072,0.15254237288135591,0.0,0.0,0.0,2022-11-17
0.13703703703703704,0.06779661016949153,0.0,0.0,0.0,2022-11-18
0.18518518518518517,0.1694915254237288,0.0,0.0,0.0,2022-11-19
0.15925925925925924,0.06779661016949153,0.0,0.0,0.0,2022-11-20
0.13333333333333333,0.1694915254237288,0.0,0.0,0.0,2022-11-21
0.1925925925925926,0.23728813559322032,0.0,0.0,0.0,2022-11-22
0.24074074074074073,0.1864406779661017,0.0,0.0,0.0,2022-11-23
0.1259259259259259,0.08474576271186442,0.0,0.0,0.0,2022-11-24
0.4333333333333333,0.423728813559322,0.00056657223796034,0.0,0.0,2022-11-25
0.36666666666666664,0.2542372881355932,0.0,0.0,0.0,2022-11-26
0.2037037037037037,0.11864406779661017,0.0,0.0,0.0,2022-11-27
0.3,0.2711864406779661,0.18640226628895185,0.0,0.0,2022-11-28
0.5777777777777777,0.47457627118644063,0.013031161473087818,0.0,0.0,2022-11-29
0.4962962962962963,0.38983050847457623,0.0,0.0,0.0,2022-11-30
0.24074074074074073,0.1694915254237288,0.0,0.0,0.0,2022-12-01
0.1814814814814815,0.2542372881355932,0.0,0.0,0.0,2022-12-02
0.3185185185185185,0.30508474576271183,0.01246458923512748,0.0,0.0,2022-12-03
0.41481481481481475,0.3220338983050847,0.0,0.0,0.0,2022-12-04
0.2259259259259259,0.1864406779661017,0.0,0.0,0.0,2022-12-05
0.22962962962962963,0.1864406779661017,0.00226628895184136,0.0,0.043478260869565216,2022-12-06
0.35185185185185186,0.423728813559322,0.0033994334277620396,0.0,0.0,2022-12-07
0.11481481481481481,0.15254237288135591,0.0,0.0,0.0,2022-12-08
0.18518518518518517,0.11864406779661017,0.0,0.0,0.0,2022-12-09
0.15555555555555556,0.15254237288135591,0.0,0.0,0.0,2022-12-10
0.2148148148148148,0.1694915254237288,0.0,0.0,0.0,2022-12-11
